,screen_name,text,followers_count,favorite_count,retweet_count,created_at,location
0,Fieka95512057,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,12,0,1546,2019-08-18 23:59:46,
1,senapati_New,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",3801,0,226,2019-08-18 23:59:29,
2,SamuelA99535525,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",33,0,226,2019-08-18 23:58:45,
3,mayafarrell21,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",417,0,226,2019-08-18 23:58:07,"Kalimantan Timur, Indonesia"
4,Wonganyar71,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",1370,0,196,2019-08-18 23:57:26,"Kediri, Jawa Timur"
5,aryarzaky,RT @corbuzier: Ada yg nanya sama gw... Kalo ibukota gak di Jakarta lagi.. Om Ded jadi org kampung dong ya... GUE JAWAB APA COBA.. 🤣🤣😂,70,0,78,2019-08-18 23:57:24,Indonesia
6,kuaajajaalajuja,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",172,0,196,2019-08-18 23:57:19,
7,supperpell,"RT @MotivateProvoke: Mengapa Ibukota Harus Pindah?

Disini kita kupas beberapa alasan mengapa ibukota harus pindah?

Setelah melihat bebera…",92,0,166,2019-08-18 23:56:59,🥀
8,boimibrahim15,jangan pindahin ibukota #memek kalimantan masih kawasan hijau jangan kau bikin botak hutannya lah… https://t.co/ihMFYU8fg4,1,0,0,2019-08-18 23:56:07,
9,iteraetion,"@pilusembilu ㅤ
     Iya, mungkin nggak banyak, tapi lumayan untuk biaya hidup di Ibukota. Soal kucing, betul, saya… https://t.co/aP5zTK4JM1",102,0,0,2019-08-18 23:55:52,non-dating.
10,AgusEdyHeriyan2,"RT @Yasmine_____99: https://t.co/ktnjRUBRwX
--
Mas @prabowo : Minta Pemindahan ibukota Diteliti Lagi.
Bang @sandiuno : Minta Ingin Konsep B…",382,0,57,2019-08-18 23:55:50,Taman Yasmin Bogor Indonesia
11,bblestea,Bukit tinggi juga pernah jdi ibukota tpi apakah ada gedung2 pencakar langit? Ya nggak. Aduhlah pindah ibu kota buka… https://t.co/lPguO9buVO,309,0,0,2019-08-18 23:55:17,"Seoul, Republic of Korea"
12,HermanAlimin,"@rockygerung Pusing dia kl ibukota pindah, kan ngak bisa dpt job lg.",30,0,0,2019-08-18 23:54:55,
13,belendeh,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,37,0,1546,2019-08-18 23:54:53,"Gresik, Indonesia"
14,Meilan72182741,"RT @jeansAprilia97: Saat semua tersadar semua sudah dikuasai Asing.. 
Rakyat mau demo besar2an. 
Pemerintah nya asyk minum kopi di ibukota…",275,0,10,2019-08-18 23:54:50,
15,pausdarat265,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",1,0,196,2019-08-18 23:54:50,"Pekan Baru, Riau"
16,beddu_inst,Kalimantan jika jadi ibukota kelak maka TDK akan ada bedax pulau jawa,1,0,0,2019-08-18 23:54:23,
17,lanunatuna,"RT @do_ra_dong: 8. Berdasarkan info terbatas

Ada aksi reaksi serta ada back up besar beijing dibalik rencana pemindahan ibukota kekalimant…",2864,0,179,2019-08-18 23:54:22,
18,qoniefaundra,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,313,0,1546,2019-08-18 23:54:10,"Di Masa Depan Kamu, Ya Kamu"
19,TobatMukidi,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",288,0,226,2019-08-18 23:53:49,California
20,ayenzodearya,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",819,0,226,2019-08-18 23:53:25,antara merapi dan singgalang
21,ridho_w,"RT @do_ra_dong: 13. Pemerintah china akan back up full agenda pemindahan ibukota ke kalimantan 

Sebagai bagian putus tangan kekuatan penga…",1155,0,138,2019-08-18 23:53:09,
22,MasGusus,"RT @fadlizon: Jokowi Pindahkan Ibukota Ke Kalimantan, Fadli Zon: Duitnya Dari Mana? via @kbharianaceh https://t.co/4ocMnxpk4C",141,0,60,2019-08-18 23:53:07,
23,ibnu_hr2010,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",672,0,226,2019-08-18 23:53:02,bekasi
24,sugito43334255,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",510,0,226,2019-08-18 23:52:47,
25,bblestea,Orang2 ini berlagak kayak indonesia baru sekali ini pindah ibukota hadeh https://t.co/4z6EYpwmpw,309,0,0,2019-08-18 23:52:36,"Seoul, Republic of Korea"
26,WSetiawan_ID,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",7589,0,226,2019-08-18 23:52:24,
27,Windymaryam,"RT @MotivateProvoke: Mengapa Ibukota Harus Pindah?

Disini kita kupas beberapa alasan mengapa ibukota harus pindah?

Setelah melihat bebera…",572,0,166,2019-08-18 23:51:57,bandung west java
28,surodilagan,"RT @rmol_id: Rocky Gerung: Buat Apa Ibukota Baru, Memerintah Kan Bisa Dari Smartphone #KlikRMOLID #RepublikMerdeka https://t.co/elSARwCiUr",1371,0,226,2019-08-18 23:51:38,Indonesia
29,VeteranKamra,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",960,0,196,2019-08-18 23:51:28,"Garut, Indonesia"
30,iyogs,@xxmpriit video ini gaada sangkut pautnya lho sama ibukota☺️,434,0,0,2019-08-18 23:51:13,"Yogyakarta, Indonesia"
31,MRRafif2,RT @corbuzier: Ada yg nanya sama gw... Kalo ibukota gak di Jakarta lagi.. Om Ded jadi org kampung dong ya... GUE JAWAB APA COBA.. 🤣🤣😂,43,0,78,2019-08-18 23:51:02,"Jakarta Selatan, DKI Jakarta"
32,setiawan_alewoh,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,1355,0,1546,2019-08-18 23:50:54,@bandung - indonesia
33,DenieHilman,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,71,0,1546,2019-08-18 23:50:53,
34,Muhamma81725023,"RT @do_ra_dong: Dalam diskusi terbatas lingkaran survey kalibata, ada beberapa poin penting dan informasi terkait rencana pemindahan ibukot…",115,0,540,2019-08-18 23:50:24,
35,myadisya,"RT @dr_koko28: Ibukota kita gak usah pindah. Cukup ke Bogor.

Itu juga gak perlu lahan baru. Pake aja sepetak lahan di Istana. Bangun gedun…",1336,0,196,2019-08-18 23:50:10,Indonesia
36,suharto_dki,"RT @Donihendarto: Pindah ibukota ke kalimantan
1. Suku dayak, kutai,paser, bajau dll dah pasti akan tersingkir 
2. Hutan bisa jd akan hilan…",81,0,2,2019-08-18 23:49:56,
37,iyogs,@xxmpriit terus ngapain sangkut pautkan sama pindahnya ibukota?,434,0,0,2019-08-18 23:49:49,"Yogyakarta, Indonesia"
38,Hiraka_Silke,Mamaah @Yona_JKT48 papah minta ijin ya hari ini pulang rada maleman soalnya mau nganter Sumini @N_ShaniJKT48 ke dok… https://t.co/QXFMxzYe81,191,0,0,2019-08-18 23:49:48,Golden Nusantara
39,fitrakurn79,RT @rockygerung: Buat apa ibukota baru? Memerintah bisa dari smartphone. Kredit HP baru aja cukup.,113,0,1546,2019-08-18 23:49:30,
40,MuhammadRafal3,@liappuccino Luar biasa kamu bisa ngatain  orang bego😆 ..katanya mahasiswa hukum kok dangkal sekali ya berpikir kam… https://t.co/xgsFt2io5V,49,0,0,2019-08-18 23:48:44,
